Date,gold_price,usd_index,oil_price,sp500,vix,us10y_yield,silver_price,copper_price,tlt_bond,bitcoin,eur_usd
2018-12-24,1267.5,96.5500030517578,42.52999877929688,2351.10009765625,36.06999969482422,2.749000072479248,14.701000213623049,2.6684999465942383,99.16490936279295,4078.59912109375,1.1372811794281006
2018-12-26,1269.199951171875,97.0500030517578,46.220001220703125,2467.699951171875,30.40999984741211,2.796999931335449,15.003999710083008,2.7084999084472656,98.10233306884766,3857.297607421875,1.1415525674819946
2018-12-27,1277.300048828125,96.4800033569336,44.61000061035156,2488.830078125,29.959999084472656,2.743000030517578,15.190999984741213,2.6675000190734863,98.11865997314452,3654.83349609375,1.1361312866210938
2018-12-28,1279.9000244140625,96.38999938964844,45.33000183105469,2485.739990234375,28.34000015258789,2.736000061035156,15.326000213623049,2.678999900817871,98.9442367553711,3923.918701171875,1.143105387687683
2018-12-31,1278.300048828125,96.16999816894533,45.40999984741211,2506.85009765625,25.420000076293945,2.686000108718872,15.43299961090088,2.628000020980835,99.32017517089844,3742.700439453125,1.1439945697784424
2019-01-02,1281.0,96.81999969482422,46.540000915527344,2510.030029296875,23.21999931335449,2.6610000133514404,15.541999816894531,2.625,99.84334564208984,3943.409423828125,1.14617121219635
2019-01-03,1291.800048828125,96.30999755859376,47.09000015258789,2447.889892578125,25.450000762939453,2.553999900817871,15.706000328063965,2.570499897003174,100.97955322265624,3836.7412109375,1.1318106651306152
2019-01-04,1282.699951171875,96.19000244140624,47.959999084472656,2531.93994140625,21.3799991607666,2.6589999198913574,15.69499969482422,2.65149998664856,99.8106460571289,3857.717529296875,1.1391078233718872
2019-01-07,1286.800048828125,95.70999908447266,48.52000045776367,2549.68994140625,21.399999618530277,2.681999921798706,15.668999671936035,2.6410000324249268,99.51638793945312,4025.248291015625,1.1410444974899292
2019-01-08,1283.199951171875,95.9000015258789,49.77999877929688,2574.409912109375,20.46999931335449,2.7160000801086426,15.62600040435791,2.6605000495910645,99.25482940673828,4030.847900390625,1.1479737758636477
2019-01-09,1289.300048828125,95.22000122070312,52.36000061035156,2584.9599609375,19.979999542236328,2.7279999256134038,15.652999877929688,2.6619999408721924,99.09954071044922,4035.29638671875,1.1456066370010376
2019-01-10,1284.699951171875,95.54000091552734,52.59000015258789,2596.639892578125,19.5,2.7309999465942383,15.560999870300291,2.6435000896453857,98.46198272705078,3678.924560546875,1.1554949283599854
2019-01-11,1287.0999755859375,95.66999816894533,51.59000015258789,2596.260009765625,18.190000534057617,2.700999975204468,15.57699966430664,2.6695001125335693,98.84612274169922,3687.365478515625,1.151012897491455
2019-01-14,1289.0999755859375,95.58999633789062,50.5099983215332,2582.610107421875,19.06999969482422,2.7100000381469727,15.609000205993652,2.6454999446868896,98.47828674316406,3706.05224609375,1.146013617515564
2019-01-15,1286.199951171875,95.97000122070312,52.11000061035156,2610.300048828125,18.600000381469727,2.7109999656677246,15.54599952697754,2.650500059127808,98.11865997314452,3630.67529296875,1.1472889184951782
2019-01-16,1291.5999755859375,96.05999755859376,52.310001373291016,2616.10009765625,19.040000915527344,2.7309999465942383,15.564000129699709,2.69350004196167,98.21674346923828,3655.0068359375,1.1416828632354736
2019-01-17,1291.0,96.06999969482422,52.06999969482422,2635.9599609375,18.059999465942383,2.749000072479248,15.467000007629396,2.700000047683716,98.24127197265624,3678.56396484375,1.1398088932037354
2019-01-18,1281.300048828125,96.33999633789062,53.79999923706055,2670.7099609375,17.799999237060547,2.7839999198913574,15.329999923706056,2.740999937057495,97.726318359375,3657.83935546875,1.13926362991333
2019-01-22,1282.5,96.3000030517578,52.56999969482422,2632.89990234375,20.799999237060547,2.7300000190734863,15.258999824523926,2.688999891281128,98.38838958740234,3604.5771484375,1.136932134628296
2019-01-23,1283.0999755859375,96.12000274658205,52.619998931884766,2638.699951171875,19.520000457763672,2.755000114440918,15.31700038909912,2.694000005722046,98.34751892089844,3585.123046875,1.1364023685455322
2019-01-24,1279.0999755859375,96.5999984741211,53.130001068115234,2642.330078125,18.88999938964844,2.711999893188477,15.23799991607666,2.673500061035156,98.99327850341795,3600.865478515625,1.1388224363327026
2019-01-25,1297.4000244140625,95.79000091552734,53.68999862670898,2664.760009765625,17.420000076293945,2.753000020980835,15.638999938964844,2.73799991607666,98.51918029785156,3599.765869140625,1.1313496828079224
2019-01-28,1302.4000244140625,95.75,51.9900016784668,2643.85009765625,18.8700008392334,2.74399995803833,15.708999633789062,2.6875,98.42111206054688,3470.450439453125,1.1413049697875977
2019-01-29,1308.199951171875,95.81999969482422,53.310001373291016,2640.0,19.1299991607666,2.711999893188477,15.78600025177002,2.7320001125335693,98.91973114013672,3448.116943359375,1.143000841140747
2019-01-30,1309.9000244140625,95.33999633789062,54.22999954223633,2681.050048828125,17.65999984741211,2.694999933242798,15.880000114440918,2.7730000019073486,98.84612274169922,3486.181640625,1.1435366868972778
2019-01-31,1319.699951171875,95.58000183105467,53.790000915527344,2704.10009765625,16.56999969482422,2.634999990463257,16.02199935913086,2.7890000343322754,99.69618225097656,3457.792724609375,1.1487650871276855
2019-02-01,1316.9000244140625,95.58000183105467,55.2599983215332,2706.530029296875,16.139999389648438,2.690999984741211,15.880000114440918,2.775000095367432,99.0940933227539,3487.9453125,1.1449507474899292
2019-02-04,1314.300048828125,95.8499984741211,54.560001373291016,2724.8701171875,15.729999542236328,2.7239999771118164,15.836999893188477,2.7950000762939453,98.65170288085938,3459.154052734375,1.1455278396606443
