model,mae,rmse,mape,test_r2,train_r2,gap
Linear,29.18177604675293,41.38301086425781,0.912613034248352,0.995062747877456,0.9973159432411194,0.0022531747817993164
Ridge,49.591552734375,66.69276428222656,1.5444984436035156,0.9871767374602808,0.9940190315246582,0.006842315196990967
SVR,38.298613975513746,56.067600735569755,1.1812491152251616,0.9909371441588446,0.9981569061046978,0.007219761945853165
LSTM,49.039878845214844,66.04784393310547,1.5123642683029175,0.9874235392879183,0.9933096170425415,0.005886077880859375
GRU,35.73725509643555,49.34328842163086,1.1091437339782715,0.9929806437422021,0.9960947632789612,0.0031141042709350586
