seq_len,scheme,model,epoch,train_loss,val_loss
20,A-宏观(3维),GRU,1,0.2474992363287252,0.005252772942185402
20,A-宏观(3维),GRU,2,0.003221231910888903,0.0017942610429599881
20,A-宏观(3维),GRU,3,0.0019433318621716314,0.002291496843099594
20,A-宏观(3维),GRU,4,0.0017290857582402278,0.001889680279418826
20,A-宏观(3维),GRU,5,0.0016127280288579138,0.0018510151421651244
20,A-宏观(3维),GRU,6,0.0016578936431321063,0.0015985883073881269
20,A-宏观(3维),GRU,7,0.0016382722969789279,0.0016042055794969201
20,A-宏观(3维),GRU,8,0.0015951375590202612,0.001598141505382955
20,A-宏观(3维),GRU,9,0.0015754804249330458,0.0016614340711385012
20,A-宏观(3维),GRU,10,0.0016669015767328608,0.002083983039483428
20,A-宏观(3维),GRU,11,0.0017237941564408226,0.0015737512148916721
20,A-宏观(3维),GRU,12,0.0016061104685438515,0.0015793709317222238
20,A-宏观(3维),GRU,13,0.0016592900093409955,0.0017539794789627194
20,A-宏观(3维),GRU,14,0.001661428700316715,0.0019508618861436844
20,A-宏观(3维),GRU,15,0.0015959660432480318,0.001636543427594006
20,A-宏观(3维),GRU,16,0.0016470073639088193,0.001611037878319621
20,A-宏观(3维),GRU,17,0.001732684732066328,0.0019525309326127172
20,A-宏观(3维),GRU,18,0.0016335000195440582,0.001569424057379365
20,A-宏观(3维),GRU,19,0.0016666998489614146,0.001568130566738546
20,A-宏观(3维),GRU,20,0.001589243073154812,0.0017151074716821313
20,A-宏观(3维),GRU,21,0.001695557712849711,0.0019255124498158693
20,A-宏观(3维),GRU,22,0.0015693935173335092,0.002157007111236453
20,A-宏观(3维),GRU,23,0.0015895749256599641,0.0015940499724820256
20,A-宏观(3维),GRU,24,0.0015982021533794924,0.0017358482582494617
20,A-宏观(3维),GRU,25,0.001538563502689532,0.0016216435469686985
20,A-宏观(3维),GRU,26,0.0015556565444470075,0.0018363881390541792
20,A-宏观(3维),GRU,27,0.0015710115471483446,0.001857707742601633
20,A-宏观(3维),GRU,28,0.0015766750318756057,0.0015657655894756317
20,A-宏观(3维),GRU,29,0.0015824198842727033,0.0018956868443638086
20,A-宏观(3维),GRU,30,0.0016447559095556544,0.001958003733307123
20,A-宏观(3维),GRU,31,0.0015872530241373562,0.0024292173329740763
20,A-宏观(3维),GRU,32,0.0015616037232620025,0.001879118150100112
20,A-宏观(3维),GRU,33,0.001593185524509324,0.0015544581692665815
20,A-宏观(3维),GRU,34,0.0015905612972694143,0.0018453396623954177
20,A-宏观(3维),GRU,35,0.0017634604621117166,0.00168234936427325
20,A-宏观(3维),GRU,36,0.0016320630462576056,0.0018283806275576353
20,A-宏观(3维),GRU,37,0.0015855139257383404,0.0016375512350350618
20,A-宏观(3维),GRU,38,0.0016181097138811475,0.0017719308380037546
20,A-宏观(3维),GRU,39,0.0016263697840627196,0.0015596605371683836
20,A-宏观(3维),GRU,40,0.0016223009035365547,0.0016725038876757026
20,A-宏观(3维),GRU,41,0.0015800364192088843,0.0016044569201767445
20,A-宏观(3维),GRU,42,0.0016004626188633846,0.0016079575289040804
20,A-宏观(3维),GRU,43,0.0017703895666405036,0.001781754894182086
20,A-宏观(3维),GRU,44,0.001657225327563342,0.0022859135642647743
20,A-宏观(3维),GRU,45,0.0015487142680515012,0.0017743973294273019
20,A-宏观(3维),GRU,46,0.0015810965713891354,0.0015621690545231104
20,A-宏观(3维),GRU,47,0.0016295041149157557,0.0016869482351467013
20,A-宏观(3维),GRU,48,0.0015353672421444255,0.001964857568964362
20,A-宏观(3维),GRU,49,0.0015553455692114068,0.0018523603212088346
20,A-宏观(3维),GRU,50,0.001566797247376295,0.0018690871074795723
20,A-宏观(3维),GRU,51,0.0015160699613408922,0.0016352194361388683
20,A-宏观(3维),GRU,52,0.0015347829033863843,0.0017486102879047394
20,A-宏观(3维),GRU,53,0.0015599150601715971,0.0016734882956370711
20,A-宏观(3维),GRU,54,0.001556075470130218,0.0016838096780702472
20,A-宏观(3维),GRU,55,0.001532815732995135,0.0017759937327355146
20,A-宏观(3维),GRU,56,0.0015360016538067086,0.0016779130091890693
20,A-宏观(3维),GRU,57,0.0015541591499637264,0.001827381318435073
20,A-宏观(3维),GRU,58,0.0015752735044046932,0.001737822312861681
20,A-宏观(3维),LSTM,1,0.261384508840073,0.010606602765619755
20,A-宏观(3维),LSTM,2,0.0028773474722441766,0.001587437465786934
20,A-宏观(3维),LSTM,3,0.0016881408673540062,0.00168118707370013
20,A-宏观(3维),LSTM,4,0.001613695428851448,0.001865331782028079
20,A-宏观(3维),LSTM,5,0.0015862931558679085,0.0016686463495716453
20,A-宏观(3维),LSTM,6,0.001559793176802001,0.0016506016254425049
20,A-宏观(3维),LSTM,7,0.0015594230920065648,0.0016455689910799265
