Date,gold_price,usd_index,oil_price,sp500
2015-01-02,1186.0,91.08000183105469,52.689998626708984,2058.199951171875
2015-01-05,1203.9000244140625,91.37999725341797,50.040000915527344,2020.5799560546875
2015-01-06,1219.300048828125,91.5,47.93000030517578,2002.6099853515625
2015-01-07,1210.5999755859375,91.88999938964844,48.650001525878906,2025.9000244140625
2015-01-08,1208.4000244140625,92.37000274658203,48.790000915527344,2062.139892578125
2015-01-09,1216.0,91.94000244140625,48.36000061035156,2044.81005859375
2015-01-12,1232.699951171875,91.9800033569336,46.06999969482422,2028.260009765625
2015-01-13,1234.300048828125,92.30999755859375,45.88999938964844,2023.030029296875
2015-01-14,1234.4000244140625,92.16000366210938,48.47999954223633,2011.27001953125
2015-01-15,1264.699951171875,92.3499984741211,46.25,1992.6700439453125
2015-01-16,1276.9000244140625,92.5199966430664,48.689998626708984,2019.4200439453125
2015-01-20,1294.199951171875,93.05000305175781,46.38999938964844,2022.550048828125
2015-01-21,1293.699951171875,92.9000015258789,47.779998779296875,2032.1199951171875
2015-01-22,1300.699951171875,94.23999786376953,46.310001373291016,2063.14990234375
2015-01-23,1292.5999755859375,95.0,45.59000015258789,2051.820068359375
2015-01-26,1279.4000244140625,94.80000305175781,45.150001525878906,2057.090087890625
2015-01-27,1291.699951171875,94.0199966430664,46.22999954223633,2029.550048828125
2015-01-28,1285.9000244140625,94.47000122070312,44.45000076293945,2002.1600341796875
2015-01-29,1254.5999755859375,94.77999877929688,44.529998779296875,2021.25
2015-01-30,1278.5,94.80000305175781,48.2400016784668,1994.989990234375
2015-02-02,1276.199951171875,94.5,49.56999969482422,2020.8499755859375
2015-02-03,1259.699951171875,93.5999984741211,53.04999923706055,2050.030029296875
2015-02-04,1263.800048828125,93.98999786376953,48.45000076293945,2041.510009765625
2015-02-05,1262.0,94.69999694824219,50.47999954223633,2062.52001953125
2015-02-06,1233.9000244140625,94.69999694824219,51.689998626708984,2055.469970703125
2015-02-09,1240.800048828125,94.44999694824219,52.86000061035156,2046.739990234375
2015-02-10,1231.5999755859375,94.76000213623047,50.02000045776367,2068.590087890625
2015-02-11,1219.0,94.98999786376953,48.84000015258789,2068.530029296875
2015-02-12,1220.0999755859375,94.08999633789062,51.209999084472656,2088.47998046875
2015-02-13,1226.5,94.19999694824219,52.779998779296875,2096.989990234375
2015-02-17,1208.0999755859375,94.05999755859375,53.529998779296875,2100.340087890625
2015-02-18,1199.699951171875,94.19999694824219,52.13999938964844,2099.679931640625
2015-02-19,1207.0999755859375,94.4000015258789,51.15999984741211,2097.449951171875
2015-02-20,1204.4000244140625,94.25,50.34000015258789,2110.300048828125
2015-02-23,1200.300048828125,94.56999969482422,49.45000076293945,2109.659912109375
2015-02-24,1196.9000244140625,94.48999786376953,49.279998779296875,2115.47998046875
2015-02-25,1201.0,94.20999908447266,50.9900016784668,2113.860107421875
